center,left,right,steering,throttle,brake,speed
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_33_57_466.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_33_57_466.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_33_57_466.jpg,0,0,0,0.000147659
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_33_57_539.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_33_57_539.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_33_57_539.jpg,0,0,0,0.000148902
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_33_57_614.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_33_57_614.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_33_57_614.jpg,0,0,0,0.000147346
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_33_57_684.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_33_57_684.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_33_57_684.jpg,0,0,0,0.000147147
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_33_57_751.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_33_57_751.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_33_57_751.jpg,0,0,0,0.000146688
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_33_57_823.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_33_57_823.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_33_57_823.jpg,0,0,0,0.000147603
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_33_57_895.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_33_57_895.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_33_57_895.jpg,0,0,0,0.000146961
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_33_57_965.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_33_57_965.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_33_57_965.jpg,0,0,0,0.000148047
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_33_58_032.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_33_58_032.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_33_58_032.jpg,0,0,0,0.000147105
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_33_58_103.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_33_58_103.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_33_58_103.jpg,0,0,0,0.000147689
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_33_58_172.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_33_58_172.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_33_58_172.jpg,0,0,0,0.000147944
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_33_58_243.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_33_58_243.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_33_58_243.jpg,0,0,0,0.000147253
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_33_58_312.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_33_58_312.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_33_58_312.jpg,0,0,0,0.000148062
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_33_58_381.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_33_58_381.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_33_58_381.jpg,0,0,0,0.00014751
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_33_58_451.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_33_58_451.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_33_58_451.jpg,0,0,0,0.000147378
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_33_58_520.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_33_58_520.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_33_58_520.jpg,0,0,0,0.000147175
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_33_58_592.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_33_58_592.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_33_58_592.jpg,0,0.241296,0,0.1411057
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_33_58_663.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_33_58_663.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_33_58_663.jpg,0,0.481479,0,0.4456093
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_33_58_737.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_33_58_737.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_33_58_737.jpg,0,0.660777,0,0.8410317
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_33_58_810.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_33_58_810.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_33_58_810.jpg,0,0.903981,0,1.554638
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_33_58_884.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_33_58_884.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_33_58_884.jpg,0,1,0,2.42804
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_33_58_955.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_33_58_955.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_33_58_955.jpg,0,1,0,3.091815
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_33_59_027.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_33_59_027.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_33_59_027.jpg,0,1,0,3.980146
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_33_59_094.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_33_59_094.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_33_59_094.jpg,0,1,0,4.640793
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_33_59_165.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_33_59_165.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_33_59_165.jpg,0,1,0,5.514738
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_33_59_234.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_33_59_234.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_33_59_234.jpg,0,1,0,6.164849
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_33_59_304.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_33_59_304.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_33_59_304.jpg,0,1,0,7.024002
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_33_59_371.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_33_59_371.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_33_59_371.jpg,0,1,0,7.613939
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_33_59_441.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_33_59_441.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_33_59_441.jpg,0,1,0,8.124515
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_33_59_509.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_33_59_509.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_33_59_509.jpg,0,1,0,8.853666
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_33_59_576.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_33_59_576.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_33_59_576.jpg,-0.05,1,0,9.2363
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_33_59_648.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_33_59_648.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_33_59_648.jpg,-0.25,1,0,9.730392
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_33_59_715.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_33_59_715.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_33_59_715.jpg,-0.4,1,0,10.08318
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_33_59_788.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_33_59_788.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_33_59_788.jpg,-0.4251451,1,0,10.59798
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_33_59_856.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_33_59_856.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_33_59_856.jpg,-0.3577642,1,0,11.04084
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_33_59_931.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_33_59_931.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_33_59_931.jpg,-0.5577642,1,0,11.68616
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_34_00_002.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_34_00_002.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_34_00_002.jpg,-0.7077643,1,0,12.1996
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_34_00_073.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_34_00_073.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_34_00_073.jpg,-0.9077643,1,0,12.89151
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_34_00_147.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_34_00_147.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_34_00_147.jpg,-0.831448,1,0,13.6051
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_34_00_215.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_34_00_215.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_34_00_215.jpg,-0.656713,1,0,14.2728
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_34_00_285.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_34_00_285.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_34_00_285.jpg,-0.4189779,1,0,15.15162
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_34_00_355.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_34_00_355.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_34_00_355.jpg,-0.2387079,1,0,15.78545
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_34_00_424.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_34_00_424.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_34_00_424.jpg,0,1,0,16.70319
/Users/t.krishnan/Desktop/IMG/center_2017_03_06_22_34_00_494.jpg,/Users/t.krishnan/Desktop/IMG/left_2017_03_06_22_34_00_494.jpg,/Users/t.krishnan/Desktop/IMG/right_2017_03_06_22_34_00_494.jpg,0,1,0,17.42019
